x,y,u,v,p
0.122299688,0.18587205,0.266362771,-6.05933E-06,8.968836274
0.125916614,0.190771052,0.178623165,4.15839E-05,8.956646616
0.139055512,0.193937211,0.119344782,2.65162E-05,8.911090037
0.13986014,0.19647342,0.070331677,1.13864E-05,8.908422371
0.132995489,0.190934775,0.175663332,-4.60626E-06,8.931463893
0.120933732,0.084137436,0.988953429,-3.55066E-05,8.974452644
0.124573896,0.072973462,0.940073995,-0.000288103,8.96000164
0.154621369,0.005837091,0.115047805,1.23357E-05,8.856915254
0.160839161,0.003452027,0.068862858,1.84662E-06,8.835595102
0.153454908,0.008729247,0.169473371,2.73786E-05,8.861196778
0.161657921,0.005892882,0.116097861,3.13227E-06,8.832610441
0.167832168,0.003458146,0.068961582,9.00838E-06,8.811241572
0.143224553,0.014709049,0.276390632,-6.09922E-05,8.89711526
0.117536332,0.044858847,0.705762901,0.000384229,8.986475351
0.120461347,0.05588327,0.816298587,-0.000228529,8.973016713
0.127870797,0.025764123,0.454864929,-8.72599E-05,8.949166665
0.125987971,0.037265325,0.613207866,-0.000576206,8.957540436
0.136968587,0.021657161,0.391968161,0.000314927,8.9179524
0.150471358,0.01382627,0.261146639,-4.67564E-05,8.872481726
0.127805681,0.061395146,0.863228683,-0.000113491,8.948052232
0.128927652,0.092161271,1.007951264,0.000104203,8.945755731
0.126485943,0.103634443,1.012878993,0.000143109,8.953614836
0.123663382,0.115228697,0.990980433,-2.1347E-05,8.964460926
0.120643698,0.127612426,0.937760618,0.000171968,8.976576241
0.108030736,0.164128183,0.596146771,0.000516826,9.020100997
0.113540708,0.17186492,0.489854141,0.000455429,9.003681841
0.111814747,0.148029392,0.779822347,1.83829E-05,9.007988895
0.115279727,0.13782052,0.869428772,7.54063E-05,8.996497088
0.121319337,0.171849648,0.489813313,-0.000259031,8.969222087
0.1264329,0.179026872,0.380546664,4.1981E-05,8.952912527
0.129607709,0.185446652,0.273775455,6.93088E-05,8.944220957
0.146230616,0.193877205,0.120554373,1.94344E-05,8.886309723
0.146853147,0.196462639,0.070579517,8.68242E-06,8.884082639
0.140541324,0.190697672,0.180096735,7.52023E-05,8.905739022
0.136564338,0.18602417,0.263807165,9.29232E-05,8.918337046
0.132225979,0.08115098,0.978172714,-0.000107233,8.934883172
0.135341328,0.069905303,0.922302786,4.39547E-05,8.92369228
0.160594365,0.008814832,0.171059832,-7.18941E-06,8.835975233
0.156672901,0.012574259,0.239083083,2.88317E-05,8.849198952
0.168633636,0.005987224,0.117868287,2.04512E-05,8.808570592
0.174825175,0.003457232,0.068943233,-1.06551E-05,8.78743582
0.167204602,0.00906757,0.175700257,5.31423E-05,8.813620998
0.175432009,0.005996049,0.118054851,-2.83086E-05,8.785324112
0.181818182,0.003452311,0.068893768,-1.351E-05,8.763281067
0.146952919,0.021257236,0.385034882,-1.10883E-08,8.886551113
0.130141343,0.049890424,0.759930769,0.000171335,8.941384433
0.13500203,0.03469724,0.581248078,0.000373029,8.921553925
0.143709121,0.030591833,0.525063616,-8.58179E-05,8.896256795
0.155838195,0.019226174,0.35219211,-4.7367E-05,8.854029509
0.138488969,0.058424204,0.839460913,0.000415772,8.914664055
0.136932727,0.099634441,1.014227232,-0.000197191,8.919545693
0.14017078,0.089180927,1.002179589,-0.000206024,8.907534261
0.135522739,0.111176866,1.002238978,8.4752E-05,8.926553971
0.143453231,0.105762152,1.010190858,-0.000191445,8.898099064
0.131517502,0.123174144,0.959950294,0.000298011,8.938475579
0.129669172,0.132199621,0.909160416,0.000551318,8.945314427
0.124199391,0.137121769,0.874469677,0.000469597,8.961980728
0.119612131,0.160506776,0.640892248,-0.000266711,8.976954762
0.122450831,0.146212999,0.797727329,0.000412243,8.967415054
0.12875728,0.16835756,0.539894315,0.000282208,8.947800609
0.135974281,0.177899762,0.399099833,0.000340188,8.923376399
0.153167377,0.193860607,0.120907726,1.82529E-05,8.862281955
0.153846154,0.196457017,0.070718192,8.29431E-06,8.859900238
0.147386421,0.190662345,0.180844146,2.16082E-05,8.882751648
0.143930054,0.184478654,0.291123866,0.000116423,8.89543699
0.160063727,0.193865142,0.120795546,-3.92439E-05,8.83805862
0.160839161,0.196455811,0.070723094,-1.72395E-05,8.835176537
0.143416152,0.078552967,0.967560579,-3.38887E-05,8.896155577
0.146654479,0.067921307,0.910028858,9.91206E-05,8.885397817
0.182319185,0.005972212,0.117658448,-3.06593E-05,8.761582321
